crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-44.450638	5598	0.000000
281474976710655.000000	-34.778481	5599	0.000000
281474976710655.000000	-104.014923	5600	0.000000
281474976710655.000000	-69.378159	5601	0.000000
281474976710655.000000	-72.520683	5602	0.000000
281474976710655.000000	-35.670971	5603	0.000000
281474976710655.000000	-67.569435	5604	0.000000
281474976710655.000000	Inf	5605	0.000000
281474976710655.000000	-65.640358	5606	0.000000
281474976710655.000000	-54.074760	5607	0.000000
281474976710655.000000	-71.407837	5608	0.000000
281474976710655.000000	-69.728027	5609	0.000000
281474976710655.000000	-65.349648	5610	0.000000
281474976710655.000000	-69.046021	5611	0.000000
281474976710655.000000	-44.007401	5612	0.000000
281474976710655.000000	-46.222233	5613	0.000000
281474976710655.000000	-101.995842	5614	0.000000
281474976710655.000000	-107.411491	5615	0.000000
281474976710655.000000	-42.459961	5616	0.000000
281474976710655.000000	-46.440609	5617	0.000000
281474976710655.000000	-101.471092	5618	0.000000
281474976710655.000000	-68.013199	5619	0.000000
281474976710655.000000	-62.514214	5620	0.000000
281474976710655.000000	-44.597553	5621	0.000000
281474976710655.000000	-127.635117	5622	0.000000
281474976710655.000000	-134.421829	5623	0.000000
281474976710655.000000	-64.521400	5624	0.000000
281474976710655.000000	-68.017075	5625	0.000000
281474976710655.000000	-63.331257	5626	0.000000
281474976710655.000000	-68.020554	5627	0.000000
281474976710655.000000	-63.399410	5628	0.000000
281474976710655.000000	-51.639889	5629	0.000000
281474976710655.000000	-99.616219	5630	0.000000
281474976710655.000000	-105.626747	5631	0.000000
281474976710655.000000	-65.385681	5632	0.000000
281474976710655.000000	-64.697777	5633	0.000000
281474976710655.000000	-64.129326	5634	0.000000
281474976710655.000000	-46.766388	5635	0.000000
281474976710655.000000	-64.529846	5636	0.000000
281474976710655.000000	-68.814537	5637	0.000000
281474976710655.000000	-128.194016	5638	0.000000
281474976710655.000000	-43.033867	5639	0.000000
281474976710655.000000	-63.653416	5640	0.000000
281474976710655.000000	-51.048817	5641	0.000000
281474976710655.000000	-124.315193	5642	0.000000
281474976710655.000000	-65.897537	5643	0.000000
281474976710655.000000	-61.826515	5644	0.000000
281474976710655.000000	-51.372780	5645	0.000000
281474976710655.000000	-63.185947	5646	0.000000
281474976710655.000000	-67.420654	5647	0.000000
281474976710655.000000	-60.260666	5648	0.000000
281474976710655.000000	-72.624390	5649	0.000000
281474976710655.000000	-122.891197	5650	0.000000
281474976710655.000000	-45.111156	5651	0.000000
281474976710655.000000	-46.912983	5652	0.000000
281474976710655.000000	-43.131962	5653	0.000000
281474976710655.000000	-47.994270	5654	0.000000
281474976710655.000000	-70.729370	5655	0.000000
281474976710655.000000	-40.988674	5656	0.000000
281474976710655.000000	-64.256149	5657	0.000000
281474976710655.000000	-62.374493	5658	0.000000
281474976710655.000000	-64.115135	5659	0.000000
281474976710655.000000	-48.460468	5660	0.000000
281474976710655.000000	-62.844418	5661	0.000000
281474976710655.000000	-66.460854	5662	0.000000
281474976710655.000000	-63.828285	5663	0.000000
281474976710655.000000	-63.065956	5664	0.000000
281474976710655.000000	-43.546227	5665	0.000000
281474976710655.000000	-63.316830	5666	0.000000
281474976710655.000000	-65.033607	5667	0.000000
281474976710655.000000	-61.778244	5668	0.000000
281474976710655.000000	-43.592575	5669	0.000000
281474976710655.000000	-61.202431	5670	0.000000
281474976710655.000000	-63.278881	5671	0.000000
281474976710655.000000	-41.692825	5672	0.000000
281474976710655.000000	-62.133286	5673	0.000000
281474976710655.000000	-60.748795	5674	0.000000
281474976710655.000000	-62.392349	5675	0.000000
281474976710655.000000	-60.821293	5676	0.000000
281474976710655.000000	-49.625732	5677	0.000000
281474976710655.000000	-95.070786	5678	0.000000
281474976710655.000000	-63.034344	5679	0.000000
281474976710655.000000	-64.540489	5680	0.000000
281474976710655.000000	-101.086266	5681	0.000000
281474976710655.000000	-46.026775	5682	0.000000
281474976710655.000000	-67.030670	5683	0.000000
281474976710655.000000	-61.431644	5684	0.000000
281474976710655.000000	-49.262451	5685	0.000000
281474976710655.000000	-79.817734	5686	0.000000
281474976710655.000000	-60.774643	5687	0.000000
281474976710655.000000	-59.560642	5688	0.000000
281474976710655.000000	-96.655525	5689	0.000000
281474976710655.000000	-46.457321	5690	0.000000
281474976710655.000000	-62.091949	5691	0.000000
281474976710655.000000	-61.130222	5692	0.000000
281474976710655.000000	-67.918159	5693	0.000000
281474976710655.000000	-61.227051	5694	0.000000
281474976710655.000000	-66.716209	5695	0.000000
281474976710655.000000	-95.308357	5696	0.000000
281474976710655.000000	-46.625969	5697	0.000000
281474976710655.000000	-46.352131	5698	0.000000
281474976710655.000000	-60.583561	5699	0.000000
281474976710655.000000	-59.660076	5700	0.000000
281474976710655.000000	-40.479733	5701	0.000000
281474976710655.000000	-66.206436	5702	0.000000
281474976710655.000000	-61.271790	5703	0.000000
281474976710655.000000	-64.263321	5704	0.000000
281474976710655.000000	-57.502045	5705	0.000000
281474976710655.000000	-56.611889	5706	0.000000
281474976710655.000000	-65.346786	5707	0.000000
281474976710655.000000	-48.476498	5708	0.000000
281474976710655.000000	-65.529068	5709	0.000000
281474976710655.000000	-56.300247	5710	0.000000
281474976710655.000000	-49.965389	5711	0.000000
281474976710655.000000	-39.586395	5712	0.000000
281474976710655.000000	-65.691254	5713	0.000000
281474976710655.000000	-56.229362	5714	0.000000
281474976710655.000000	-65.785461	5715	0.000000
281474976710655.000000	-48.052132	5716	0.000000
281474976710655.000000	-49.506252	5717	0.000000
281474976710655.000000	-38.122627	5718	0.000000
